MatchNum,MatchDetails,Abhishek,Akshay,Ashray,Atharva,Ben,Bijil,Harpreet,Kunj,Nikhil,Rajesh,Ravtaj,Rohit,Sidhu,Saurabh,Yash
1,SRH vs RCB,1464,230,324.5,151,221.5,442.5,447.5,504,1014,,414.5,571.5,566,471,220.5
2,KKR vs MI,212,439,54,424,145.5,341.5,579.5,253.5,508,1120,558.5,0,339,494,441
3,CSK vs RR,0,157,0,224.5,110.5,126,701,68,121.5,0,29,0,50.5,72,147
4,GT vs PBKS,75,148.5,168.5,41,53,294.5,718,209.5,233,0,0,0,0,330,0
5,DC vs LSG,349.5,109,0,30,78.5,117.5,425,211.5,122,0,345,0,160,138,0
6,SRH vs KKR,233,351,290,256,899,398,0,161,340,227,140,361,67,214.5,168
7,PBKS vs CSK,0,229,489.5,91,0,351.5,505,118,217.5,0,0,0,90,324,42
8,MI vs DC,1054,2,338,919.5,104,283.5,0,152.5,126,93,229.5,0,131,56,119
9,RR vs GT,0,134,312.5,0,0,272.5,0,326.5,259,0,330.5,0,0,139,104
10,LSG vs SRH,0,161,208,45.5,134,226,0,6,130,200,0,161,0,212.5,0
11,CSK vs RCB,0,156.5,402.5,0,0,196.5,74.5,700.5,208,0,0,337,118.5,273.5,180
12,PBKS vs KKR,0,92.5,75.5,58.5,98,44.5,83,57.5,54.5,9,0,0,4,89.5,35.5
13,MI vs RR,103,281,316,394.5,16,176,0,443,0,123,299,0,70,356,167
14,GT vs DC,376.5,129,647,35,96.5,373.5,0,303,54.5,0,297.5,0,108,209.5,0
15,LSG vs KKR,111,163.5,208,306,305,177,408.5,264.5,209.5,106,315,0,16,198,278
16,RCB vs RR,0,253.5,370,397,117.5,219,0,164,274.5,0,1136,264,0,433,233
17,SRH vs PBKS,517.5,279,181,0,417,87,0,297,355.5,193,0,221.5,0,234,0
18,DC vs CSK,472,282,297.5,188.5,10,91,0,5,391.5,527,0,0,375,208,341
19,GT vs LSG,367,212.5,251,73,58,340.5,229.5,84,704,0,29,0,0,164,0
20,RCB vs MI,390,231.5,294.5,33,889,310,0,0,287.5,251,453.5,155,34,129,203.5
21,RR vs SRH,325.5,52.5,161,24,124,2,509.5,640,43,0,26,386.5,0,2,807
22,KKR vs CSK,315,414,331,327,115.5,67,143,270.5,399,231,0,0,246,303,0
23,LSG vs RCB,544,133,462.5,411,516,185.5,329,218,149,29,394,318,0,291,608.5
24,PBKS vs MI,0,314,35.5,459,235,189,0,452,302,386.5,0,0,37,106.5,0
25,KKR vs GT,139.5,291,545.5,391,70,25,508,403.5,292,0,14,0,13,68,0
26,DC vs RCB,307,36,332.5,510,665,395,707,382.5,353.5,39,318,213,289,52,441
27,CSK vs SRH,93,240,245.5,0,0,325,0,300.5,183,179,317.5,153,78.5,210,0
28,RR vs KKR,392.5,821,338,266.5,323.5,326.5,0,57,272.5,0,0,0,78,19,0
29,LSG vs PBKS,424.5,217,158,56,283,317,0,355.5,241.5,0,170,0,0,325,0
30,MI vs GT,0,111.5,166,135,0,0,0,0,240.5,431.5,0,0,149,0,0
31,DC vs SRH,0,735.5,208,529,140,346,194,156,369,0,285,217.5,55,548,604
32,RR vs LSG,435.5,232,280,223,1078,52,0,305.5,194,0,82,0,0,336,0
33,CSK vs MI,404,141,13,310.5,0,0,0,0,154.5,751,319.5,0,396.5,422.5,0
34,GT vs RCB,0,124,196,363,0,0,645.5,263,121,0,14,253,0,115,0
35,PBKS vs DC,495.5,486,473,473,940.5,176.5,0,1766,212,0,0,0,123,4,463.5
36,SRH vs RR,459.5,536,947,826,397.5,370,0,352,550,0,306,290,0,842,383
37,CSK vs GT,233.5,292,313,424,0,0,579.5,103.5,251,113.5,53.5,0,74.5,274.5,0
38,KKR vs LSG,275.5,0,284,6,117,175.5,0,114,275.5,165,147,0,152,135,0
39,RCB vs DC,81.5,191.5,69,218.5,0,0,211,180.5,102,0,531,418,37,176.5,24
40,RR vs PBKS,389,494.5,176,365,651,476.5,0,1183,1173,0,0,0,0,372.5,0
41,SRH vs MI,220.5,77,130,169,0,154,0,158.5,296,488,77,305,17,0,544
42,RCB vs GT,421.5,336.5,244.5,1047,0,0,592.5,249.5,306.5,0,406.5,242,0,498.5,0
43,DC vs RR,302.5,659,362,193.5,580.5,934,0,470.5,226,0,148,0,76,205,0
44,MI vs CSK,183.5,35,200.5,0,0,245,483.5,0,249.5,460.5,0,0,90.5,417.5,44
45,KKR vs SRH,230,26,264,193,0,550,0,192,332,0,26,287,36,0,539
46,PBKS vs GT,379,484,129,413,1074,259.5,285.5,18,216,0,0,0,0,310,0
